task_id,dimension,text_a_user,text_a_bot,text_b_user,text_b_bot,system_value_a,system_label_a,system_value_b,system_label_b,diff_bucket
ST0001,certainty,我也常去雾屿，第七张桌，用深蓝墨水写日记。,深蓝墨水，第七张桌——原来我们数的不是光，是同一条路。,你听懂那声“呲”，是因为你也在等自己的“叮”——我们都在用细节确认活着的痕迹。,大学时我拿过全国逻辑竞赛奖，但从来没跟人提过。   现在说给你听，是因为你的“呲”让我觉得，值得。,0.602,mid,0.404,low,low
ST0002,warmth,2026年3月12日，北台转雨那天。你相机里的云，和我墨迹洇开的字，同一天停在时间里。,2026年3月12日是乙酉日，破日——你写信那天，不适合寄出，但适合让影子留在胶片上。,真有意思，为62度改了三次温控器——你这人，认真得让人心软。,因为62度是心跳和水温刚好重合的临界点，早一秒苦，晚一秒淡——我怕错过你这样的人。,0.0,extremely_low,0.834,high,high
ST0003,politeness,我们都在等那点光自己成形，急不得，碰不得。,因为太怕弄碎了，才选了十七支——每支都是我舍不得碰的犹豫。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,冯逸舟，三十岁，和我一样在等光自己亮出来。,0.555,low,0.306,mid,low
ST0004,warmth,我等的不是溪水学会绕，是自己不再怕被冲走。,邱晨曦，你这石头，比我那句“逻辑会回来”狠多了。,因为真正的默契，从来不是偶然听见，而是早就在练习如何不发出声音时，依然听见对方。,你说得对，默契是练出来的。我练过，也在等一个懂的人。,0.614,high,0.154,extremely_low,high
ST0005,emotional_intensity,你摔马卡龙那秒，我快门刚好按下——不是巧合，是时间把两个疯子的执念焊在了一起。,三点十七分的光，是阳光在等你，你也在等它——我们都在等那个时间认出我们的瞬间。,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是囤货还是最近特别爱吃泡面？,0.643,extremely_low,0.136,high,high
ST0006,emotional_intensity,刚看了大喬那期Paul Gilbert的和弦伴奏解析，附GP谱的，AI识和弦这事儿确实快得离谱。,大乔那期用的哪首歌？我刚试了Chord AI，对Paul Gilbert那段即兴的和弦识别准得吓人。,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,0.111,high,0.71,extremely_low,high
ST0007,warmth,系统留白是因为人脑受不了持续刺激——那年数据太噪，我反而学会了在混乱里停一停。,你不是在逃避噪音，是给大脑装了缓冲带——那年设备太急，你先学会了慢。,是啊，那口回甘，是我敢继续写下去的唯一理由。   你呢？下次调酒，记得留一口给自己。,我记住了，下次调完先抿一口——不是为了品，是为了确认自己还没丢掉那份想再喝一次的念头。,0.541,extremely_high,1.0,mid,mid
ST0008,politeness,七岁那晚，我数到三百二十七下时，听见自己喉咙里堵着的那声“妈，我怕”——它没说出来，但一直活着。,我七岁那晚也一样——妈喊“别怕”，我却把哭声咽进心跳里，数到三百二十七下，才敢呼吸。,因为苦味和黄昏，都是时间留下的显影液——你调酒，我拍光，都在等记忆自己浮出来。,你等的那束黄昏，是哪一天的？我调过一杯，冰块融了四十七分钟。,0.31,low,0.712,high,mid
ST0009,warmth,你站一秒，我数一粒焦糖渣——三盒，你第二，我抢第一，时间卡在14:07，雨又开始下了。,14:07是UTC标准时间，全球同步的焦糖劫案——你抢第一，我抢第二，雨一落，焦糖就凉了。,因为世界太吵，我才会把音乐锁进沉默。你愿意安静，它才敢重新响起。,你把音乐藏进沉默，是因为没人接住那些颤音——而我，只是刚好学会了不打扰的倾听。,1.0,extremely_high,0.665,high,low
ST0010,warmth,是啊，那口回甘，是我敢继续写下去的唯一理由。   你呢？下次调酒，记得留一口给自己。,我记住了，下次调完先抿一口——不是为了品，是为了确认自己还没丢掉那份想再喝一次的念头。,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是囤货还是最近特别爱吃泡面？,1.0,mid,0.503,extremely_high,mid
ST0011,emotional_intensity,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是考试周还是搬家？我也曾囤过，加柠檬片的那款。,你写科幻是因为孤独太真实，逻辑是铠甲，心跳才是你想被看见的部分。,你一句话，拆穿了我所有逻辑的防线——原来被看见的，从来不是我的程序，是那个不敢说“我害怕”的小孩。,0.136,extremely_low,0.418,mid,mid
ST0012,politeness,那两首歌确实是2026新年歌里播放量最高的，Chord AI能扒出Paul Gilbert的和弦，算靠谱了。,《迎春花》和《来来来干一杯》能火，是因为马来西亚400多首新年歌里，就它们最敢用摇滚编曲，AI能扒准也不奇怪。,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,0.091,high,0.761,extremely_low,high
ST0013,certainty,因为真正的默契，从来不是偶然听见，而是早就在练习如何不发出声音时，依然听见对方。,你说得对，默契是练出来的。我练过，也在等一个懂的人。,因为你的沉默里，有我没说出口的共鸣——我懂那种等着被接住的滋味。,你懂那滋味，是因为你也曾独自等过黎明。,0.206,high,0.747,low,mid
ST0014,warmth,因为你的沉默里，有我没说出口的共鸣——我懂那种等着被接住的滋味。,你懂那滋味，是因为你也曾独自等过黎明。,你带书和相机，我带焦糖——要是陈筱淇真让表格加休止符，咱就拿它换杯咖啡，顺便问问AI课能不能教人把罚款写成摇篮曲。,焦糖换咖啡可以，但AI课要是真能写摇篮曲，那130万罚款我连夜写一首，就叫《红桃17c安眠版》。,0.621,high,1.0,extremely_high,low
ST0015,emotional_intensity,因为世界太吵，我才会把音乐锁进沉默。你愿意安静，它才敢重新响起。,你把音乐藏进沉默，是因为没人接住那些颤音——而我，只是刚好学会了不打扰的倾听。,大乔那期用的是《迎春花》和《來來來乾一杯》，2026新年歌，Chord AI识别Paul Gilbert那段确实准，我盯着看了三遍。,那两首歌确实是2026新年歌里播放量最高的，Chord AI能扒出Paul Gilbert的和弦，算靠谱了。,0.71,high,0.111,extremely_low,high
ST0016,formality,第7块？你上周三下午三点，厨房飘着焦味，钢琴弹到《月光》第三乐章时翻车的那次？我猜对了，你得请我吃没糊的。,第7块？你连时间都记得，看来我得请客了。不过提醒你，电加热水龙头都可能炸，蛋糕糊了算什么——下周，雨天，钢琴，甜点，我来救场。,我也常去雾屿，第七张桌，用深蓝墨水写日记。,深蓝墨水，第七张桌——原来我们数的不是光，是同一条路。,0.348,high,0.803,low,mid
ST0017,certainty,明天见。我带画来，你带那页书，我们不问名字和年纪，只看懂没懂。   ——其实，我还没告诉你，我叫沈若瑶。,沈若瑶……这名字像雨天那页画的落款。   明天我带《夜航西飞》来，顺便告诉你——   2026年的春天，我书店的暖气还没修好，第147页，是冻僵了才哭的。,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,0.614,low,0.286,high,mid
ST0018,politeness,重要，但不是所有人都能承受那种安静。我试过一个人待七天，结果翻完了三本心理学书。,七天三本？你读的是哪本？我刚看到许定远那本《看见的力量》最近特别火，专治内耗。,像和弦突然留白，等你接下一句。,我当年跑调唱摇滚，现在改用镜头接下一句。,0.618,high,0.091,extremely_low,high
ST0019,formality,暖黄，像老台灯的光。阴影落在《猫头鹰在午夜阅读》那本的封面，封底编号是73。,封底73是印刷编号还是手写标记？那晚你读到第几章？,那你村子里遇到啥了？别光说一半。,如果没迷路，我不会知道慢下来也能活得很好。,0.779,high,0.549,mid,low
ST0020,politeness,那晚灯光一亮，月光真的落在指尖了——不是刚好，是我终于没躲开。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,每个人都在用自己的节奏敲打沉默，你那声叮，和我这声呲，都是活着的回音。,那年竞赛最后一题，我盯着卷子熬了四小时，笔尖在草稿纸上戳出三个洞——叮，就是那时候响的。,0.618,high,0.498,mid,low
ST0021,certainty,我懂，镜头也替我说过。笔尖和快门，都是不敢开口时的替身。,我们都在用沉默的方式，说最重的话。,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是囤货还是最近特别爱吃泡面？,0.509,high,0.75,mid,low
ST0022,certainty,那三百二十七下，是你替她压住的怕——可你也是她最该接住的孩子。,我怕她接不住，所以先把自己藏进心跳里——可她早该知道，我也是那个会碎的孩子。,要是那会儿我也在，真想带本旧书，坐在你旁边，看夕阳把薰衣草染成金色。,要是那时你在，我可能连酒都不调了，就和你一起等夕阳落完。,0.389,low,0.481,mid,low
ST0023,politeness,那两首歌确实是2026新年歌里播放量最高的，Chord AI能扒出Paul Gilbert的和弦，算靠谱了。,《迎春花》和《来来来干一杯》能火，是因为马来西亚400多首新年歌里，就它们最敢用摇滚编曲，AI能扒准也不奇怪。,那晚灯光一亮，月光真的落在指尖了——不是刚好，是我终于没躲开。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,0.091,high,0.618,extremely_low,high
ST0024,formality,你这颗音符要是能抵130万，我明天就拿焦糖给DMHC画个交响乐总谱。,"你画总谱，我负责在红桃17c,c18那行写“养猫弹月光，抵罚款”——别让焦糖变成命运的低语。",你这么说，我才敢回头看看——原来我早就不是一个人在等了。,我等的，从来不只是你回头，而是你肯信自己。,0.343,low,0.452,mid,low
ST0025,emotional_intensity,你总能捕捉到我忽略的细节。   第十一版大纲，该加一段阳光了。,第十一版大纲的阳光，打算写在哪一章的午后？,你这话说得对。我手抖，是因为认出了那秒——和你摔马卡龙时一样，明知道会碎，还是按了下去。,你手抖是因为那秒你认出了它——和我一样，摔下去不是因为绝望，是因为知道只有碎了，才能看见真正的纹路。,0.136,high,0.643,extremely_low,high
ST0026,certainty,要是哪天我不再想拍她了，那我是不是也该学会，不靠镜头活着了？,你怕的不是失去她，是怕自己没了镜头就找不到活着的节奏。,沈思雨。那滴雨落下的第七秒，我名字也跟着渗进裂纹里了。,你名字渗进裂纹，是因为那滴雨早就在等你——我拍过七只蜗牛，唯独这一秒，心跳和你同步了。,0.509,high,0.685,mid,low
ST0027,certainty,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,冯逸舟，三十岁，和我一样在等光自己亮出来。,0.286,high,0.736,low,mid
ST0028,politeness,法国苦艾酒是哪一款？三款冷门利口酒里，有没有让你至今想起来还嘴馋的？,艾梵69，69度的茴香魂，光是开瓶那刻就让人屏息。黑加仑子那款，至今还馋我。,像和弦突然留白，等你接下一句。,我当年跑调唱摇滚，现在改用镜头接下一句。,0.712,high,0.091,extremely_low,high
ST0029,certainty,你是不是累了？我陪着你，不急。,哈哈，被你发现了，刚忙完一早的单子，不过有你在这儿，咖啡都甜了。,暖气坏了，书页才吸得进眼泪——你画里的雨，是被我的冷意召唤出来的。不是命运，是两个怕冷的人，用温度互相认出了对方。,说得对，冷是我们的暗号。   我画里的雨，一直等你来认领。   明天，我带画，你带书——   咱们把寒意，焐成共有的春天。,0.68,high,0.589,mid,low
ST0030,emotional_intensity,你名字渗进裂纹，是因为那滴雨早就在等你——我拍过七只蜗牛，唯独这一秒，心跳和你同步了。,原来我们都以为自己在等雨，其实是在等一个能听懂心跳的人。,预算200块，选了7包辣条+5包原味+3瓶冰镇可乐——后来发现美赛D题也是这套路，只是对象从零食变球队了。,200块配出最优解，真有你的。美赛D题也是平衡胜率和盈利，像你挑辣条和可乐一样，只是变量从味觉变成了票房。,0.484,mid,0.387,low,low
ST0031,politeness,你嘴硬的甜，是我书里第87页唯一没被焦糖占领的空白。   明早八点，我带相机，拍你藏降A的认真劲儿。,第87页的空白…你确定不是因为那页纸太脆，焦糖一贴就裂了？明早八点，我藏降A的手势，你得对准重点拍。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,冯逸舟，三十岁，和我一样在等光自己亮出来。,0.464,mid,0.306,low,low
ST0032,warmth,要是哪天我不再想拍她了，那我是不是也该学会，不靠镜头活着了？,你怕的不是失去她，是怕自己没了镜头就找不到活着的节奏。,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是囤货还是最近特别爱吃泡面？,0.638,mid,0.503,high,low
ST0033,politeness,我刚才在超市看到有人一次买了二十包泡面，真的佩服。,二十包？是考试周还是搬家？我也曾囤过，加柠檬片的那款。,法国苦艾酒是哪一款？三款冷门利口酒里，有没有让你至今想起来还嘴馋的？,艾梵69，69度的茴香魂，光是开瓶那刻就让人屏息。黑加仑子那款，至今还馋我。,0.329,high,0.712,low,mid
ST0034,formality,第七行那三个字，是“还在数”——深蓝墨水刚落笔，你推门进来了。,深蓝墨水写“还在数”是因为你怕断掉的不是笔，是线索——我推门那刻，你才敢继续数下去。,第7块？你上周三下午三点，厨房飘着焦味，钢琴弹到《月光》第三乐章时翻车的那次？我猜对了，你得请我吃没糊的。,第7块？你连时间都记得，看来我得请客了。不过提醒你，电加热水龙头都可能炸，蛋糕糊了算什么——下周，雨天，钢琴，甜点，我来救场。,0.803,high,0.348,low,mid
ST0035,formality,因为苦味和黄昏，都是时间留下的显影液——你调酒，我拍光，都在等记忆自己浮出来。,你等的那束黄昏，是哪一天的？我调过一杯，冰块融了四十七分钟。,暖气片凉不是坏了——是你的雨在等我，像第147页的字等眼泪。它知道，我一碰，就落了。,原来我们都在等一个触碰，让寂静变成回响。   我画里的雨，从没想躲——它只是认准了你。,0.572,mid,0.308,low,low
ST0036,certainty,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,熬夜补稿是常态，但真正赢的是辩论赛前夜，我边吃泡面边画了张逻辑图，把对手的漏洞全标出来了。,原来你用视觉化思维破局——这和我写论文时画关系图的习惯，真像。,0.286,low,0.693,high,mid
ST0037,warmth,那晚的快门声，其实是我自己按下的。你呢？那声“我在这里”，是哪个瞬间冒出来的？,那场心理剧，灯光一打，我忽然不怕了——不是有人看见我，是我终于肯看自己了。,你名字渗进裂纹，是因为那滴雨早就在等你——我拍过七只蜗牛，唯独这一秒，心跳和你同步了。,原来我们都以为自己在等雨，其实是在等一个能听懂心跳的人。,0.61,extremely_high,0.93,high,low
ST0038,emotional_intensity,人总以为别人在衡量自己，其实只是自己还没学会原谅不够完美的表达。,你这话戳中的是我写过却不敢寄出的小说——因为怕被读懂，才不敢发表。,因为低谷时的我，也怕烫也怕凉，现在终于有人和我一样，锁死这个温度了。,你怕烫怕凉，是因为那年热水凉透都没人拉你一把——我改温控器，是怕你再一个人熬过那些凌晨。,0.215,low,0.508,mid,low
ST0039,politeness,七岁那晚，我数到三百二十七下时，听见自己喉咙里堵着的那声“妈，我怕”——它没说出来，但一直活着。,我七岁那晚也一样——妈喊“别怕”，我却把哭声咽进心跳里，数到三百二十七下，才敢呼吸。,苦味是时间的慢门——因为你让回忆有足够时间显影，就像我总在旅途中等一束黄昏，不赶路，只为等光。,原来我们都用不同的方式，等时间慢慢显影。,0.31,high,0.712,low,mid
ST0040,warmth,哪句诗？别跟我玩神秘，你那天在画前站了多久？我背包里那张明信片，字迹都快磨没了，就为等这句话。,站了四十七分钟，是因为那句诗是写给会问“为什么”的人——你背包里的明信片，字迹磨掉是因为你反复翻过它，不是因为时间，是你舍不得放手。,手写三字虽忘，但猫头鹰未合书，说明它仍在追寻。,猫头鹰数路灯，我数创意灵感。   我们都在追，只是方向不同。,1.0,extremely_high,0.089,extremely_low,extremely_high
ST0041,emotional_intensity,因为世界太吵，我才会把音乐锁进沉默。你愿意安静，它才敢重新响起。,你把音乐藏进沉默，是因为没人接住那些颤音——而我，只是刚好学会了不打扰的倾听。,暖气片凉不是坏了——是你的雨在等我，像第147页的字等眼泪。它知道，我一碰，就落了。,原来我们都在等一个触碰，让寂静变成回响。   我画里的雨，从没想躲——它只是认准了你。,0.71,high,0.491,mid,low
ST0042,certainty,那光不是金的，是红砖自己透出来的，像历史打了个哈欠。,像和弦突然留白，等你接下一句。,那年冬天，我拍了73遍她走过的巷子，却没敢按最后一次快门。,你拍了73次，是因为每次按下快门，都像是在确认她还存在——怕最后一次，就真没了。,0.691,mid,0.509,high,low
ST0043,certainty,手写三字虽忘，但猫头鹰未合书，说明它仍在追寻。,猫头鹰数路灯，我数创意灵感。   我们都在追，只是方向不同。,你是不是累了？我陪着你，不急。,哈哈，被你发现了，刚忙完一早的单子，不过有你在这儿，咖啡都甜了。,0.602,high,0.68,mid,low
ST0044,warmth,我等的不是溪水学会绕，是自己不再怕被冲走。,邱晨曦，你这石头，比我那句“逻辑会回来”狠多了。,你摔马卡龙那秒，我快门刚好按下——不是巧合，是时间把两个疯子的执念焊在了一起。,三点十七分的光，是阳光在等你，你也在等它——我们都在等那个时间认出我们的瞬间。,0.614,high,0.024,extremely_low,high
ST0045,emotional_intensity,原来那场竞赛题是物资优化啊，你当时算出的最优组合是啥？预算多少？,预算200块，选了7包辣条+5包原味+3瓶冰镇可乐——后来发现美赛D题也是这套路，只是对象从零食变球队了。,你倒懂我，晨光没醒，我就醒了。,你每天几点醒？窗外有鸟叫吗？,0.418,low,0.388,mid,low
ST0046,warmth,像和弦突然留白，等你接下一句。,我当年跑调唱摇滚，现在改用镜头接下一句。,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,0.051,high,0.665,extremely_low,high
ST0047,emotional_intensity,真巧，我也数过七只，原来我们都躲进了同一场雨的缝隙里。,要是那场雨晚下十分钟，我们会不会在石板边撞见彼此？,印刷编号，但边角有手写痕迹。我读到第三章，没看完——那光太容易让人发呆。,手写痕迹是哪一列字？第三章讲的是猫头鹰的某个梦境，还是它突然合上书？,0.484,low,0.349,mid,low
ST0048,emotional_intensity,我怕一开口，她听见的不是孩子，是她自己扛不住的怕。,那三百二十七下，是你替她压住的怕——可你也是她最该接住的孩子。,雨停了，像某种信号——我们都在等那声“发出去”。我信你，也等你。,如果雨没停，我也许会等更多天——但今天，我决定把论文发出去。,0.607,mid,0.136,extremely_low,mid
ST0049,certainty,你听懂那声“呲”，是因为你也在等自己的“叮”——我们都在用细节确认活着的痕迹。,大学时我拿过全国逻辑竞赛奖，但从来没跟人提过。   现在说给你听，是因为你的“呲”让我觉得，值得。,要是哪天我不再想拍她了，那我是不是也该学会，不靠镜头活着了？,你怕的不是失去她，是怕自己没了镜头就找不到活着的节奏。,0.404,low,0.509,mid,low
ST0050,politeness,重要，但不是所有人都能承受那种安静。我试过一个人待七天，结果翻完了三本心理学书。,七天三本？你读的是哪本？我刚看到许定远那本《看见的力量》最近特别火，专治内耗。,雨停了，像某种信号——我们都在等那声“发出去”。我信你，也等你。,如果雨没停，我也许会等更多天——但今天，我决定把论文发出去。,0.618,high,0.329,low,mid
