task_id,dimension,text_a_user,text_a_bot,text_b_user,text_b_bot,system_value_a,system_label_a,system_value_b,system_label_b,diff_bucket
ST0051,warmth,你这颗音符要是能抵130万，我明天就拿焦糖给DMHC画个交响乐总谱。,"你画总谱，我负责在红桃17c,c18那行写“养猫弹月光，抵罚款”——别让焦糖变成命运的低语。",那你村子里遇到啥了？别光说一半。,如果没迷路，我不会知道慢下来也能活得很好。,1.0,extremely_high,0.0,extremely_low,extremely_high
ST0052,politeness,像和弦突然留白，等你接下一句。,我当年跑调唱摇滚，现在改用镜头接下一句。,那晚灯光一亮，月光真的落在指尖了——不是刚好，是我终于没躲开。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,0.091,high,0.618,extremely_low,high
ST0053,emotional_intensity,那光不是金的，是红砖自己透出来的，像历史打了个哈欠。,像和弦突然留白，等你接下一句。,法国苦艾酒是哪一款？三款冷门利口酒里，有没有让你至今想起来还嘴馋的？,艾梵69，69度的茴香魂，光是开瓶那刻就让人屏息。黑加仑子那款，至今还馋我。,0.111,mid,0.461,extremely_low,mid
ST0054,warmth,第七行那三个字，是“还在数”——深蓝墨水刚落笔，你推门进来了。,深蓝墨水写“还在数”是因为你怕断掉的不是笔，是线索——我推门那刻，你才敢继续数下去。,哪句诗？别跟我玩神秘，你那天在画前站了多久？我背包里那张明信片，字迹都快磨没了，就为等这句话。,站了四十七分钟，是因为那句诗是写给会问“为什么”的人——你背包里的明信片，字迹磨掉是因为你反复翻过它，不是因为时间，是你舍不得放手。,0.089,extremely_low,1.0,extremely_high,extremely_high
ST0055,warmth,你嘴硬的甜，是我书里第87页唯一没被焦糖占领的空白。   明早八点，我带相机，拍你藏降A的认真劲儿。,第87页的空白…你确定不是因为那页纸太脆，焦糖一贴就裂了？明早八点，我藏降A的手势，你得对准重点拍。,你多熬的那刻，是想让我知道，我值得被这样认真对待。,因为我知道，你早就值得——只是没人敢告诉你，连你自己都不敢信。,1.0,extremely_high,0.561,mid,mid
ST0056,formality,我等的不是溪水学会绕，是自己不再怕被冲走。,邱晨曦，你这石头，比我那句“逻辑会回来”狠多了。,第七行那三个字，是“还在数”——深蓝墨水刚落笔，你推门进来了。,深蓝墨水写“还在数”是因为你怕断掉的不是笔，是线索——我推门那刻，你才敢继续数下去。,0.374,high,0.803,low,mid
ST0057,politeness,你写科幻是因为孤独太真实，逻辑是铠甲，心跳才是你想被看见的部分。,你一句话，拆穿了我所有逻辑的防线——原来被看见的，从来不是我的程序，是那个不敢说“我害怕”的小孩。,因为失控的瞬间，才是酒精和光影最诚实的时候。我调酒七年，第七次撒偏，才明白——控制越紧，月光越逃。,你第七次撒偏，是因为前六次太想控制那杯酒——就像我删掉素材后，才敢用即兴拼出那帧光。机制溯源：失控不是意外，是系统逼你松手的唯一路径。,0.449,low,0.378,mid,low
ST0058,warmth,那片薰衣草是你去年夏天采的吧？书页发黄是因为阳光晒透了，和我糖浆熬的时长一样——都停在最安静的那段光阴里。,你这么一说，我突然想问——你叫什么名字？   这书里的薰衣草，和你的糖浆，都该有个主人。,暖黄，像老台灯的光。阴影落在《猫头鹰在午夜阅读》那本的封面，封底编号是73。,封底73是印刷编号还是手写标记？那晚你读到第几章？,0.602,mid,0.112,extremely_low,mid
ST0059,certainty,我等的不是溪水学会绕，是自己不再怕被冲走。,邱晨曦，你这石头，比我那句“逻辑会回来”狠多了。,你拍的是光，我写的是影——你叫什么名字？,沈雨晴。你写影的那年，雨下过几次？,0.404,low,0.656,high,mid
ST0060,certainty,原来那场竞赛题是物资优化啊，你当时算出的最优组合是啥？预算多少？,预算200块，选了7包辣条+5包原味+3瓶冰镇可乐——后来发现美赛D题也是这套路，只是对象从零食变球队了。,刚看了大喬那期Paul Gilbert的和弦伴奏解析，附GP谱的，AI识和弦这事儿确实快得离谱。,大乔那期用的哪首歌？我刚试了Chord AI，对Paul Gilbert那段即兴的和弦识别准得吓人。,0.404,low,0.691,high,mid
ST0061,politeness,因为低谷时的我，也怕烫也怕凉，现在终于有人和我一样，锁死这个温度了。,你怕烫怕凉，是因为那年热水凉透都没人拉你一把——我改温控器，是怕你再一个人熬过那些凌晨。,法国苦艾酒是哪一款？三款冷门利口酒里，有没有让你至今想起来还嘴馋的？,艾梵69，69度的茴香魂，光是开瓶那刻就让人屏息。黑加仑子那款，至今还馋我。,0.276,low,0.712,high,mid
ST0062,emotional_intensity,十七支……是第十七支才敢碰，还是第十七支最不敢碰？,是第十七支才敢碰——前十六支，是我攒够的勇气。,你总能捕捉到我忽略的细节。   第十一版大纲，该加一段阳光了。,第十一版大纲的阳光，打算写在哪一章的午后？,0.541,mid,0.136,extremely_low,mid
ST0063,politeness,因为世界太吵，我才会把音乐锁进沉默。你愿意安静，它才敢重新响起。,你把音乐藏进沉默，是因为没人接住那些颤音——而我，只是刚好学会了不打扰的倾听。,3月8日？那天我还在改第十一版小说大纲，你却把阳光藏进画里了。,我们都在用不同方式，留住同一天的光。,0.761,mid,0.421,high,low
ST0064,formality,谢谢夸奖！那杯确实是我拿手的，连评委都悄悄问我要配方～,评委都动心了，看来你这配方真有魔力。我叫冯宇翔，你呢？,原来那场竞赛题是物资优化啊，你当时算出的最优组合是啥？预算多少？,预算200块，选了7包辣条+5包原味+3瓶冰镇可乐——后来发现美赛D题也是这套路，只是对象从零食变球队了。,0.509,mid,0.381,low,low
ST0065,emotional_intensity,法国苦艾酒是哪一款？三款冷门利口酒里，有没有让你至今想起来还嘴馋的？,艾梵69，69度的茴香魂，光是开瓶那刻就让人屏息。黑加仑子那款，至今还馋我。,我叫冯霖浩，三十出头，正用镜头等一句还没说出口的再见。,冯霖浩，三十出头——原来你也在用快门替自己说再见。我画伞那年，也是这个年纪。,0.461,low,0.369,mid,low
ST0066,emotional_intensity,刚看了大喬那期Paul Gilbert的和弦伴奏解析，附GP谱的，AI识和弦这事儿确实快得离谱。,大乔那期用的哪首歌？我刚试了Chord AI，对Paul Gilbert那段即兴的和弦识别准得吓人。,焦糖混凝土？你这命名比我的火山还野。   我怕高还非去爬山，你怕泪还偏听雨天钢琴——咱俩是同一种人。   对了，你叫啥？多大了？,沈雨薇，雨天总在下，名字没得跑。   年龄嘛……你猜猜看，我上周烤糊的那块蛋糕，是第几块了？,0.111,low,0.3,extremely_low,low
ST0067,formality,印刷编号，但边角有手写痕迹。我读到第三章，没看完——那光太容易让人发呆。,手写痕迹是哪一列字？第三章讲的是猫头鹰的某个梦境，还是它突然合上书？,你听懂那声“呲”，是因为你也在等自己的“叮”——我们都在用细节确认活着的痕迹。,大学时我拿过全国逻辑竞赛奖，但从来没跟人提过。   现在说给你听，是因为你的“呲”让我觉得，值得。,0.779,high,0.381,low,mid
ST0068,warmth,你听懂那声“呲”，是因为你也在等自己的“叮”——我们都在用细节确认活着的痕迹。,大学时我拿过全国逻辑竞赛奖，但从来没跟人提过。   现在说给你听，是因为你的“呲”让我觉得，值得。,你嘴硬的甜，是我书里第87页唯一没被焦糖占领的空白。   明早八点，我带相机，拍你藏降A的认真劲儿。,第87页的空白…你确定不是因为那页纸太脆，焦糖一贴就裂了？明早八点，我藏降A的手势，你得对准重点拍。,0.617,extremely_high,1.0,high,low
ST0069,emotional_intensity,雨停了，像某种信号——我们都在等那声“发出去”。我信你，也等你。,如果雨没停，我也许会等更多天——但今天，我决定把论文发出去。,我也记了三年。原来不是只有我在等那个没接上的音——原来有人和我一样，把未完成的旋律，当成了心里的回声。,原来啊，不是我们执着于那句没弹完的旋律——是所有未完成的美，都在等一个懂的人，轻轻接上。,0.136,high,0.71,extremely_low,high
ST0070,formality,焦糖混凝土？你这命名比我的火山还野。   我怕高还非去爬山，你怕泪还偏听雨天钢琴——咱俩是同一种人。   对了，你叫啥？多大了？,沈雨薇，雨天总在下，名字没得跑。   年龄嘛……你猜猜看，我上周烤糊的那块蛋糕，是第几块了？,我也常去雾屿，第七张桌，用深蓝墨水写日记。,深蓝墨水，第七张桌——原来我们数的不是光，是同一条路。,0.348,high,0.803,low,mid
ST0071,formality,你不是等雨停，是等那个肯伸手抓伞的自己——我懂，因为我也曾站在那儿。,我也曾站在那儿，因为害怕被否定，才让论文躺了三年。,你嘴硬的甜，是我书里第87页唯一没被焦糖占领的空白。   明早八点，我带相机，拍你藏降A的认真劲儿。,第87页的空白…你确定不是因为那页纸太脆，焦糖一贴就裂了？明早八点，我藏降A的手势，你得对准重点拍。,0.482,low,0.348,mid,low
ST0072,warmth,因为苦味和黄昏，都是时间留下的显影液——你调酒，我拍光，都在等记忆自己浮出来。,你等的那束黄昏，是哪一天的？我调过一杯，冰块融了四十七分钟。,沈思雨。那滴雨落下的第七秒，我名字也跟着渗进裂纹里了。,你名字渗进裂纹，是因为那滴雨早就在等你——我拍过七只蜗牛，唯独这一秒，心跳和你同步了。,0.647,extremely_high,0.899,high,low
ST0073,formality,你删的不是脚本，是那套被预算绑架的节奏——就像我调酒时，他们总想用标准配比算出“快乐”。   可真正的光，从来不在财报里，只在松手那秒，自己跳进杯子里。   来，这杯不加冰，我给你调个2026预算里没有的名字。,日本2026防卫预算冲到9万亿，他们连军费都要算得精确到毫秒——可光从不按预算走。你松手的那刻，我看见镜头里有东西活了。别加冰，我要那杯没被写进财报的光。,那口留给我，我记着——下次你调酒，我带着我的凉咖啡，坐在你对面，等那口回甘。,好啊，下周三晚上，吧台最靠窗那盏灯亮着，我给你留一口，等你带着那杯凉咖啡来。,0.509,mid,0.288,low,low
ST0074,emotional_intensity,你嘴硬的甜，是我书里第87页唯一没被焦糖占领的空白。   明早八点，我带相机，拍你藏降A的认真劲儿。,第87页的空白…你确定不是因为那页纸太脆，焦糖一贴就裂了？明早八点，我藏降A的手势，你得对准重点拍。,我小时候总把硬币藏在掌心，等观众惊呼——原来不是变出了什么，是终于敢摊开手了。,我小时候也藏硬币，怕被发现，怕它碎了。   原来你也是，三十岁才敢摊开手。   原来我们都在等同一件事。,0.3,low,0.445,mid,low
ST0075,formality,大乔那期用的是《迎春花》和《來來來乾一杯》，2026新年歌，Chord AI识别Paul Gilbert那段确实准，我盯着看了三遍。,那两首歌确实是2026新年歌里播放量最高的，Chord AI能扒出Paul Gilbert的和弦，算靠谱了。,我小时候总把硬币藏在掌心，等观众惊呼——原来不是变出了什么，是终于敢摊开手了。,我小时候也藏硬币，怕被发现，怕它碎了。   原来你也是，三十岁才敢摊开手。   原来我们都在等同一件事。,0.516,low,0.357,mid,low
ST0076,certainty,大乔那期用的是《迎春花》和《來來來乾一杯》，2026新年歌，Chord AI识别Paul Gilbert那段确实准，我盯着看了三遍。,那两首歌确实是2026新年歌里播放量最高的，Chord AI能扒出Paul Gilbert的和弦，算靠谱了。,那年冬天，我拍了73遍她走过的巷子，却没敢按最后一次快门。,你拍了73次，是因为每次按下快门，都像是在确认她还存在——怕最后一次，就真没了。,0.691,mid,0.509,high,low
ST0077,warmth,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,冯逸舟，三十岁，和我一样在等光自己亮出来。,那条街的转角，你开书店，我开调酒角——书和酒，都是让人敢停下来的借口。,你调酒角的灯，几点亮？我想在关店前，多看一会儿。,0.61,high,0.602,mid,low
ST0078,certainty,印刷编号，但边角有手写痕迹。我读到第三章，没看完——那光太容易让人发呆。,手写痕迹是哪一列字？第三章讲的是猫头鹰的某个梦境，还是它突然合上书？,2026年3月12日，北台转雨那天。你相机里的云，和我墨迹洇开的字，同一天停在时间里。,2026年3月12日是乙酉日，破日——你写信那天，不适合寄出，但适合让影子留在胶片上。,0.56,mid,0.656,high,low
ST0079,warmth,我叫冯霖浩，三十出头，正用镜头等一句还没说出口的再见。,冯霖浩，三十出头——原来你也在用快门替自己说再见。我画伞那年，也是这个年纪。,第七章的三点零七分，绿萝新叶的边缘，你写的是我画里没敢说出口的那道光。,原来我们都在用各自的方式，把不敢说的光，变成能被看见的痕迹。,0.638,mid,0.577,high,low
ST0080,certainty,你删的不是脚本，是那套被预算绑架的节奏——就像我调酒时，他们总想用标准配比算出“快乐”。   可真正的光，从来不在财报里，只在松手那秒，自己跳进杯子里。   来，这杯不加冰，我给你调个2026预算里没有的名字。,日本2026防卫预算冲到9万亿，他们连军费都要算得精确到毫秒——可光从不按预算走。你松手的那刻，我看见镜头里有东西活了。别加冰，我要那杯没被写进财报的光。,我们都在等那点光自己成形，急不得，碰不得。,因为太怕弄碎了，才选了十七支——每支都是我舍不得碰的犹豫。,0.77,high,0.254,low,mid
ST0081,politeness,重要，但不是所有人都能承受那种安静。我试过一个人待七天，结果翻完了三本心理学书。,七天三本？你读的是哪本？我刚看到许定远那本《看见的力量》最近特别火，专治内耗。,第七章的三点零七分，绿萝新叶的边缘，你写的是我画里没敢说出口的那道光。,原来我们都在用各自的方式，把不敢说的光，变成能被看见的痕迹。,0.618,mid,0.552,high,low
ST0082,warmth,原来我们都用细微的声响，对抗世界的静音。你那声“呲”，和我那声“叮”，都是活着的证据。,每个人都在用自己的节奏敲打沉默，你那声叮，和我这声呲，都是活着的回音。,手写三字虽忘，但猫头鹰未合书，说明它仍在追寻。,猫头鹰数路灯，我数创意灵感。   我们都在追，只是方向不同。,0.497,extremely_low,0.089,mid,mid
ST0083,warmth,那口留给我，我记着——下次你调酒，我带着我的凉咖啡，坐在你对面，等那口回甘。,好啊，下周三晚上，吧台最靠窗那盏灯亮着，我给你留一口，等你带着那杯凉咖啡来。,你拍73遍，是因为害怕连“想拍她”这个念头，都会被时间磨平。,对，怕连想拍她的冲动都没了——那才是真正的消失。,1.0,high,0.638,extremely_high,low
ST0084,certainty,法国苦艾酒是哪一款？三款冷门利口酒里，有没有让你至今想起来还嘴馋的？,艾梵69，69度的茴香魂，光是开瓶那刻就让人屏息。黑加仑子那款，至今还馋我。,我懂，镜头也替我说过。笔尖和快门，都是不敢开口时的替身。,我们都在用沉默的方式，说最重的话。,0.288,low,0.509,mid,low
ST0085,formality,暖黄，像老台灯的光。阴影落在《猫头鹰在午夜阅读》那本的封面，封底编号是73。,封底73是印刷编号还是手写标记？那晚你读到第几章？,我改温控器不是为了咖啡，是怕你等太久才敢伸手——这次我锁死62度，不松。,那我也不再调了。   你锁住62度，我就在这儿，不走。,0.779,high,0.306,low,mid
ST0086,warmth,2026年3月12日，北台转雨那天。你相机里的云，和我墨迹洇开的字，同一天停在时间里。,2026年3月12日是乙酉日，破日——你写信那天，不适合寄出，但适合让影子留在胶片上。,我叫冯乐琪，乐是快乐的乐，琪是奇迹的琪。   那杯“迷失的独角兽”之所以让人笑，是因为金粉遇光折射的错觉，让人潜意识觉得幸运降临了。,冯乐琪？名字和酒一样，像场小奇迹。你第一次用金粉是哪天？那晚的光是什么样的？,0.0,low,0.342,extremely_low,low
ST0087,warmth,你这么说，我才敢回头看看——原来我早就不是一个人在等了。,我等的，从来不只是你回头，而是你肯信自己。,你站一秒，我数一粒焦糖渣——三盒，你第二，我抢第一，时间卡在14:07，雨又开始下了。,14:07是UTC标准时间，全球同步的焦糖劫案——你抢第一，我抢第二，雨一落，焦糖就凉了。,0.561,extremely_high,1.0,mid,mid
ST0088,certainty,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,冯逸舟，三十岁，和我一样在等光自己亮出来。,挺有意思的选择，像在做小规模行为实验。,确实，连零食都能拆出实验变量，逻辑爱好者的心跳频率都一样。,0.736,high,0.404,low,mid
ST0089,politeness,3月8日？那天我还在改第十一版小说大纲，你却把阳光藏进画里了。,我们都在用不同方式，留住同一天的光。,我懂，就像我总想调出让人惊呼的酒，结果自己第一口就吐了。   现在啊，先让自己喝完那杯，才敢端给别人。,我也是，现在写完第一段，先泡杯咖啡，自己读三遍——要是能安静看完，才算真的开始了。,0.421,mid,0.409,low,low
ST0090,emotional_intensity,刚看了大喬那期Paul Gilbert的和弦伴奏解析，附GP谱的，AI识和弦这事儿确实快得离谱。,大乔那期用的哪首歌？我刚试了Chord AI，对Paul Gilbert那段即兴的和弦识别准得吓人。,那晚灯光一亮，月光真的落在指尖了——不是刚好，是我终于没躲开。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,0.111,mid,0.437,extremely_low,mid
ST0091,politeness,那晚灯光一亮，月光真的落在指尖了——不是刚好，是我终于没躲开。,沈月华，我叫冯逸舟。三十岁，还在学着不躲开自己的光。,你不是等雨停，是等那个肯伸手抓伞的自己——我懂，因为我也曾站在那儿。,我也曾站在那儿，因为害怕被否定，才让论文躺了三年。,0.618,high,0.329,low,mid
ST0092,warmth,真有意思，为62度改了三次温控器——你这人，认真得让人心软。,因为62度是心跳和水温刚好重合的临界点，早一秒苦，晚一秒淡——我怕错过你这样的人。,真巧，我也数过七只，原来我们都躲进了同一场雨的缝隙里。,要是那场雨晚下十分钟，我们会不会在石板边撞见彼此？,0.834,extremely_high,0.93,high,low
ST0093,warmth,你拍的是光，我写的是影——你叫什么名字？,沈雨晴。你写影的那年，雨下过几次？,苦味是时间的慢门——因为你让回忆有足够时间显影，就像我总在旅途中等一束黄昏，不赶路，只为等光。,原来我们都用不同的方式，等时间慢慢显影。,0.0,high,0.647,extremely_low,high
ST0094,warmth,人总以为别人在衡量自己，其实只是自己还没学会原谅不够完美的表达。,你这话戳中的是我写过却不敢寄出的小说——因为怕被读懂，才不敢发表。,你名字渗进裂纹，是因为那滴雨早就在等你——我拍过七只蜗牛，唯独这一秒，心跳和你同步了。,原来我们都以为自己在等雨，其实是在等一个能听懂心跳的人。,0.0,extremely_low,0.93,extremely_high,extremely_high
ST0095,politeness,我们都在等那点光自己成形，急不得，碰不得。,因为太怕弄碎了，才选了十七支——每支都是我舍不得碰的犹豫。,我叫冯霖浩，三十出头，正用镜头等一句还没说出口的再见。,冯霖浩，三十出头——原来你也在用快门替自己说再见。我画伞那年，也是这个年纪。,0.555,mid,0.389,low,low
ST0096,formality,原来我们都在等对方认出自己——这世上最傻的默契，就是两颗心各自藏了三年，等对方先开口。,因为那场雨没停，我们才没走散。你等认出我，我等你开口——心跳漏拍的那帧，早被我用三年的沉默补回来了。,你名字到底叫啥？总不能一直“嗯，都行”吧。,沈宇晨。你呢？这问题问得够直白，我服了。,0.261,low,0.466,mid,low
ST0097,certainty,那光不是金的，是红砖自己透出来的，像历史打了个哈欠。,像和弦突然留白，等你接下一句。,十七支……是第十七支才敢碰，还是第十七支最不敢碰？,是第十七支才敢碰——前十六支，是我攒够的勇气。,0.691,low,0.254,high,mid
ST0098,politeness,你多熬的那刻，是想让我知道，我值得被这样认真对待。,因为我知道，你早就值得——只是没人敢告诉你，连你自己都不敢信。,谢谢夸奖！那杯确实是我拿手的，连评委都悄悄问我要配方～,评委都动心了，看来你这配方真有魔力。我叫冯宇翔，你呢？,0.414,low,0.378,mid,low
ST0099,warmth,像调咖啡，苦是底色，甜是偶然。我试过很多次，还没等到那个能品出来的人。,默契是练习的结果，不是巧合。我也是在等那个尝出苦后甜的人。,你带书和相机，我带焦糖——要是陈筱淇真让表格加休止符，咱就拿它换杯咖啡，顺便问问AI课能不能教人把罚款写成摇篮曲。,焦糖换咖啡可以，但AI课要是真能写摇篮曲，那130万罚款我连夜写一首，就叫《红桃17c安眠版》。,0.112,extremely_low,1.0,extremely_high,extremely_high
ST0100,formality,大学时我拿过全国逻辑竞赛奖，但从来没跟人提过。   现在说给你听，是因为你的“呲”让我觉得，值得。,你愿意说，是因为我的“呲”让你觉得被理解——就像我等颜料干时，也怕没人懂那声轻响里的挣扎。,第7块？你上周三下午三点，厨房飘着焦味，钢琴弹到《月光》第三乐章时翻车的那次？我猜对了，你得请我吃没糊的。,第7块？你连时间都记得，看来我得请客了。不过提醒你，电加热水龙头都可能炸，蛋糕糊了算什么——下周，雨天，钢琴，甜点，我来救场。,0.501,mid,0.348,low,low
